"Methodology *","Site *","Management *","Sample date: Year *","Sample date: Month *","Sample date: Day *","Depth *","Transect number *","Benthic attribute *"
NA,"MIL2","Reserve",2021,9,8,NA,4,NA
"photo transect","22","Reserve",2021,3,8,NA,1,"Millepora complanata"
NA,"MIL2","Reserve",2021,9,8,NA,4,"Siderastrea"
"photo transect","MBPC-8","Reserve",NA,NA,NA,NA,3,"Siderastrea"
NA,"MIL2","Reserve",2021,9,8,NA,4,NA
NA,"MIL2","Reserve",2021,9,8,NA,4,NA
NA,"MIL2","Reserve",2021,9,8,NA,4,NA
NA,"MIL2","Reserve",2021,9,8,NA,4,NA
NA,"MIL2","Reserve",2021,9,8,NA,4,NA
NA,"MIL2","Reserve",2021,9,8,NA,4,NA
"photo transect","21","Reserve",2021,3,8,NA,3,NA
"photo transect","21","Reserve",2021,3,8,NA,1,"Siderastrea"
NA,"MIL2","Reserve",2021,9,8,NA,4,NA
NA,"MIL2","Reserve",2021,9,8,NA,5,"Agaricia"
NA,"MIL2","Reserve",2021,9,8,NA,5,NA
NA,"MIL2","Reserve",2021,9,8,NA,5,NA
NA,"MIL2","Reserve",2021,9,8,NA,5,"Dictyota"
NA,"MIL2","Reserve",2021,9,8,NA,5,"Dictyota"
NA,"MIL2","Reserve",2021,9,8,NA,5,NA
NA,"MIL2","Reserve",2021,9,8,NA,5,NA
NA,"MIL2","Reserve",2021,9,8,NA,5,"Montastrea"
"photo transect","21","Reserve",2021,3,8,NA,1,"Stephanocoenia intersepta"
NA,"MIL2","Reserve",2021,9,8,NA,5,NA
NA,"MIL2","Reserve",2021,9,8,NA,5,"Porites astreoides"
NA,"MIL2","Reserve",2021,9,8,NA,5,"Pseudodiploria strigosa"
"photo transect","MBPC-8","Reserve",NA,NA,NA,NA,3,"Millepora"
NA,"MIL2","Reserve",2021,9,8,NA,5,"Pterogorgia"
NA,"MIL2","Reserve",2021,9,8,NA,5,NA
NA,"MIL2","Reserve",2021,9,8,NA,5,NA
NA,"MIL2","Reserve",2021,9,8,NA,5,NA
"photo transect","MBPC-7","Reserve",NA,NA,NA,NA,3,"Cliona"
NA,"MIL2","Reserve",2021,9,8,NA,5,NA
NA,"MIL2","Reserve",2021,9,8,NA,5,NA
"photo transect","21","Reserve",2021,3,8,NA,1,"Eunicea"
NA,"MIL2","Reserve",2021,9,8,NA,5,NA
NA,"MIL3","Reserve",2021,9,8,NA,1,"Agaricia"
NA,"MIL3","Reserve",2021,9,8,NA,1,NA
"photo transect","MBPC-8","Reserve",NA,NA,NA,NA,3,NA
NA,"MIL3","Reserve",2021,9,8,NA,1,"Dictyota"
NA,"MIL3","Reserve",2021,9,8,NA,1,"Dictyota"
NA,"MIL3","Reserve",2021,9,8,NA,1,NA
NA,"MIL3","Reserve",2021,9,8,NA,1,"Eunicea"
NA,"MIL3","Reserve",2021,9,8,NA,1,"Gorgonia"
NA,"MIL3","Reserve",2021,9,8,NA,1,"Pseudodiploria strigosa"
"photo transect","21","Reserve",2021,3,8,NA,1,"Gorgonia"
NA,"MIL3","Reserve",2021,9,8,NA,1,NA
NA,"MIL3","Reserve",2021,9,8,NA,1,NA
NA,"MIL3","Reserve",2021,9,8,NA,1,NA
"photo transect","MBPC-8","Reserve",NA,NA,NA,NA,3,"Antillogorgia bipinnata"
NA,"MIL3","Reserve",2021,9,8,NA,1,NA
NA,"MIL3","Reserve",2021,9,8,NA,1,NA
NA,"MIL3","Reserve",2021,9,8,NA,1,NA
NA,"MIL3","Reserve",2021,9,8,NA,1,NA
NA,"MIL3","Reserve",2021,9,8,NA,2,"Agaricia"
NA,"MIL3","Reserve",2021,9,8,NA,2,NA
"photo transect","21","Reserve",2021,3,8,NA,1,"Muricea"
NA,"MIL3","Reserve",2021,9,8,NA,2,"Dictyota"
NA,"MIL3","Reserve",2021,9,8,NA,2,"Dictyota"
NA,"MIL3","Reserve",2021,9,8,NA,2,NA
"photo transect","BAJO SECO","Reserve",NA,NA,NA,NA,1,"Agaricia tenuifolia"
NA,"MIL3","Reserve",2021,9,8,NA,2,"Erythropodium caribaeorum"
NA,"MIL3","Reserve",2021,9,8,NA,2,"Gorgonia"
NA,"MIL3","Reserve",2021,9,8,NA,2,"Palythoa caribaeorum"
NA,"MIL3","Reserve",2021,9,8,NA,2,"Pseudodiploria strigosa"
NA,"MIL3","Reserve",2021,9,8,NA,2,NA
NA,"MIL3","Reserve",2021,9,8,NA,2,NA
"photo transect","21","Reserve",2021,3,8,NA,1,NA
NA,"MIL3","Reserve",2021,9,8,NA,2,"Siderastrea"
NA,"MIL3","Reserve",2021,9,8,NA,2,NA
NA,"MIL3","Reserve",2021,9,8,NA,2,NA
"photo transect","BAJO SECO","Reserve",NA,NA,NA,NA,1,"Dictyota"
NA,"MIL3","Reserve",2021,9,8,NA,2,NA
NA,"MIL3","Reserve",2021,9,8,NA,2,NA
NA,"MIL3","Reserve",2021,9,8,NA,2,NA
NA,"MIL3","Reserve",2021,9,8,NA,2,NA
NA,"MIL3","Reserve",2021,9,8,NA,2,NA
"photo transect","21","Reserve",2021,3,8,NA,1,NA
NA,"MIL3","Reserve",2021,9,8,NA,3,"Agaricia"
NA,"MIL3","Reserve",2021,9,8,NA,3,NA
NA,"MIL3","Reserve",2021,9,8,NA,3,"Dictyota"
"photo transect","BAJO SECO","Reserve",NA,NA,NA,NA,1,NA
NA,"MIL3","Reserve",2021,9,8,NA,3,"Dictyota"
NA,"MIL3","Reserve",2021,9,8,NA,3,NA
NA,"MIL3","Reserve",2021,9,8,NA,3,"Gorgonia"
NA,"MIL3","Reserve",2021,9,8,NA,3,NA
NA,"MIL3","Reserve",2021,9,8,NA,3,"Porites astreoides"
NA,"MIL3","Reserve",2021,9,8,NA,3,"Pseudodiploria strigosa"
NA,"MIL3","Reserve",2021,9,8,NA,3,NA
"photo transect","21","Reserve",2021,3,8,NA,1,NA
NA,"MIL3","Reserve",2021,9,8,NA,3,NA
NA,"MIL3","Reserve",2021,9,8,NA,3,NA
"photo transect","BAJO SECO","Reserve",NA,NA,NA,NA,1,"Lobophora"
NA,"MIL3","Reserve",2021,9,8,NA,3,"Siderastrea"
NA,"MIL3","Reserve",2021,9,8,NA,3,NA
NA,"MIL3","Reserve",2021,9,8,NA,3,NA
NA,"MIL3","Reserve",2021,9,8,NA,3,NA
NA,"MIL3","Reserve",2021,9,8,NA,3,NA
NA,"MIL3","Reserve",2021,9,8,NA,3,NA
NA,"MIL3","Reserve",2021,9,8,NA,3,NA
"photo transect","21","Reserve",2021,3,8,NA,1,"Plexaura"
NA,"MIL3","Reserve",2021,9,8,NA,3,NA
NA,"MIL3","Reserve",NA,NA,NA,NA,4,"Agaricia"
"photo transect","BAJO SECO","Reserve",NA,NA,NA,NA,1,NA
NA,"MIL3","Reserve",NA,NA,NA,NA,4,NA
NA,"MIL3","Reserve",NA,NA,NA,NA,4,"Dictyota"
NA,"MIL3","Reserve",NA,NA,NA,NA,4,"Dictyota"
NA,"MIL3","Reserve",NA,NA,NA,NA,4,NA
NA,"MIL3","Reserve",NA,NA,NA,NA,4,"Gorgonia"
NA,"MIL3","Reserve",NA,NA,NA,NA,4,NA
NA,"MIL3","Reserve",NA,NA,NA,NA,4,"Pseudodiploria strigosa"
NA,"MIL3","Reserve",NA,NA,NA,NA,4,NA
NA,"MIL3","Reserve",NA,NA,NA,NA,4,NA
"photo transect","21","Reserve",2021,3,8,NA,3,NA
"photo transect","22","Reserve",2021,3,8,NA,1,NA
NA,"MIL3","Reserve",NA,NA,NA,NA,4,NA
"photo transect","BAJO SECO","Reserve",NA,NA,NA,NA,1,NA
NA,"MIL3","Reserve",NA,NA,NA,NA,4,NA
NA,"MIL3","Reserve",NA,NA,NA,NA,4,NA
NA,"MIL3","Reserve",NA,NA,NA,NA,4,NA
NA,"MIL3","Reserve",NA,NA,NA,NA,4,NA
NA,"MIL3","Reserve",NA,NA,NA,NA,4,NA
NA,"MIL3","Reserve",NA,NA,NA,NA,4,NA
"photo transect","21","Reserve",2021,3,8,NA,3,NA
"photo transect","21","Reserve",2021,3,8,NA,1,"Plexaurella"
NA,"MIL3","Reserve",NA,NA,NA,NA,4,NA
NA,"MIL3","Reserve",2021,9,8,NA,5,"Agaricia"
NA,"MIL3","Reserve",2021,9,8,NA,5,NA
"photo transect","BAJO SECO","Reserve",NA,NA,NA,NA,1,"Millepora"
NA,"MIL3","Reserve",2021,9,8,NA,5,"Dictyota"
NA,"MIL3","Reserve",2021,9,8,NA,5,"Dictyota"
NA,"MIL3","Reserve",2021,9,8,NA,5,NA
NA,"MIL3","Reserve",2021,9,8,NA,5,"Gorgonia"
NA,"MIL3","Reserve",2021,9,8,NA,5,NA
NA,"MIL3","Reserve",2021,9,8,NA,5,"Porites astreoides"
"photo transect","21","Reserve",2021,3,8,NA,1,"Antillogorgia bipinnata"
NA,"MIL3","Reserve",2021,9,8,NA,5,"Pseudodiploria strigosa"
NA,"MIL3","Reserve",2021,9,8,NA,5,NA
NA,"MIL3","Reserve",2021,9,8,NA,5,NA
NA,"MIL3","Reserve",2021,9,8,NA,5,NA
NA,"MIL3","Reserve",2021,9,8,NA,5,NA
NA,"MIL3","Reserve",2021,9,8,NA,5,NA
"photo transect","22","Reserve",2021,3,8,NA,1,"Diploria stigosa"
NA,"MIL3","Reserve",2021,9,8,NA,5,NA
NA,"MIL3","Reserve",2021,9,8,NA,5,NA
NA,"MIL3","Reserve",2021,9,8,NA,5,NA
"photo transect","21","Reserve",2021,3,8,NA,1,"Pseudoplexaura"
NA,"MIL3","Reserve",2021,9,8,NA,5,NA
NA,"MIL3","Reserve",2021,9,8,NA,5,NA
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,1,"Agaricia"
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,1,"Dictyota"
"photo transect","BAJO SECO","Reserve",NA,NA,NA,NA,1,"Montastrea"
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,1,"Gorgonia"
"photo transect","MBPC-7","Reserve",NA,NA,NA,NA,3,NA
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,1,NA
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,1,NA
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,1,"Palythoa"
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,1,"Plexaura"
"photo transect","21","Reserve",2021,3,8,NA,1,"Pseudopterogorgia"
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,1,NA
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,1,NA
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,1,NA
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,1,"Agaricia tenuifolia"
"photo transect","BAJO SECO","Reserve",NA,NA,NA,NA,1,"Palythoa"
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,1,NA
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,1,"Cliona"
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,1,NA
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,1,NA
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,1,NA
"photo transect","21","Reserve",2021,3,8,NA,1,"Amphimedon compressa"
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,1,"Pseudopterogorgia"
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,1,NA
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,1,"Montastrea"
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,1,"Diploria stigosa"
"photo transect","BAJO SECO","Reserve",NA,NA,NA,NA,1,NA
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,2,"Agaricia"
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,2,"Dictyota"
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,2,"Gorgonia"
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,2,NA
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,2,NA
"photo transect","21","Reserve",2021,3,8,NA,1,"Cliona"
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,2,"Palythoa"
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,2,"Plexaura"
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,2,NA
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,2,NA
"photo transect","BAJO SECO","Reserve",NA,NA,NA,NA,1,"Porites astreoides"
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,2,NA
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,2,"Agaricia tenuifolia"
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,2,NA
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,2,"Cliona"
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,2,NA
"photo transect","21","Reserve",2021,3,8,NA,1,NA
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,2,NA
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,2,NA
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,2,"Pseudopterogorgia"
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,2,NA
"photo transect","BAJO SECO","Reserve",NA,NA,NA,NA,1,NA
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,2,"Montastrea"
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,2,"Diploria stigosa"
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,3,"Agaricia"
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,3,"Dictyota"
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,3,"Gorgonia"
"photo transect","21","Reserve",2021,3,8,NA,1,NA
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,3,NA
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,3,NA
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,3,"Palythoa"
"photo transect","BAJO SECO","Reserve",NA,NA,NA,NA,1,NA
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,3,"Plexaura"
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,3,NA
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,3,NA
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,3,NA
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,3,NA
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,3,"Cliona"
"photo transect","21","Reserve",2021,3,8,NA,1,NA
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,3,NA
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,3,NA
"photo transect","BAJO SECO","Reserve",NA,NA,NA,NA,1,"Agaricia"
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,3,NA
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,3,"Pseudopterogorgia"
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,3,NA
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,3,"Montastrea"
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,3,"Diploria stigosa"
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,3,"Acropora palmata"
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,3,"Porites astreoides"
"photo transect","21","Reserve",2021,3,8,NA,1,NA
"photo transect","MBPC-1","Reserve",NA,NA,NA,NA,3,"Lobophora"
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,1,"Agaricia"
"photo transect","22","Reserve",2021,3,8,NA,1,"Millepora"
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,1,"Dictyota"
"photo transect","BAJO SECO","Reserve",NA,NA,NA,NA,1,NA
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,1,"Gorgonia"
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,1,NA
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,1,NA
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,1,"Palythoa"
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,1,"Plexaura"
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,1,NA
"photo transect","21","Reserve",2021,3,8,NA,3,"Lobophora"
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,1,NA
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,1,NA
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,1,"Agaricia tenuifolia"
"photo transect","BAJO SECO","Reserve",NA,NA,NA,NA,1,NA
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,1,NA
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,1,"Cliona"
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,1,NA
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,1,NA
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,1,NA
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,1,"Pseudopterogorgia"
"photo transect","21","Reserve",2021,3,8,NA,1,NA
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,1,NA
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,1,"Montastrea"
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,1,"Acropora palmata"
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,1,"Lobophora"
"photo transect","BAJO SECO","Reserve",NA,NA,NA,NA,1,NA
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,1,"Siderastrea"
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,1,"Millepora"
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,2,"Agaricia"
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,2,"Dictyota"
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,2,"Gorgonia"
"photo transect","21","Reserve",2021,3,8,NA,1,NA
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,2,NA
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,2,NA
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,2,"Palythoa"
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,2,"Plexaura"
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,2,NA
"photo transect","MBPC-7","Reserve",NA,NA,NA,NA,3,NA
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,2,NA
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,2,NA
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,2,"Agaricia tenuifolia"
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,2,NA
"photo transect","21","Reserve",2021,3,8,NA,1,NA
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,2,"Cliona"
"photo transect","MBPC-2","Reserve",NA,NA,NA,NA,2,NA
