"Methodology *","Site *","Management *","Sample date: Year *","Sample date: Month *","Sample date: Day *","Depth *","Transect number *","Benthic attribute *"
NA,"Quissanga","Reserve",2020,12,30,NA,1,NA
NA,"Quissanga","Reserve",2020,12,30,NA,1,NA
NA,"Luanda","Reserve",2020,12,22,NA,1,NA
NA,"Memba_Mecuta_4","Reserve",2020,12,21,NA,1,NA
NA,"Memba_Mecuta_4","Reserve",2020,12,21,NA,1,NA
NA,"Memba_Mecuta_4","Reserve",2020,12,21,NA,1,NA
NA,"Luanda","Reserve",2020,12,22,NA,1,NA
NA,"Memba_Mecuta_4","Reserve",2020,12,21,NA,1,NA
NA,"Memba_Mecuta_4","Reserve",2020,12,21,NA,1,NA
NA,"Quissanga","Reserve",2020,12,30,NA,1,NA
NA,"Memba_Mecuta_4","Reserve",2020,12,21,NA,2,NA
NA,"Memba_Mecuta_4","Reserve",2020,12,21,NA,2,NA
NA,"Memba_Mecuta_4","Reserve",2020,12,21,NA,2,NA
NA,"Memba_Mecuta_4","Reserve",2020,12,21,NA,2,NA
NA,"Memba_Mecuta_4","Reserve",2020,12,21,NA,2,NA
NA,"Memba_Mecuta_4","Reserve",2020,12,21,NA,2,NA
NA,"Memba_Mecuta_4","Reserve",2020,12,21,NA,2,NA
NA,"Memba_Mecuta_4","Reserve",2020,12,21,NA,3,NA
NA,"Memba_Mecuta_4","Reserve",2020,12,21,NA,1,NA
NA,"Memba_Mecuta_4","Reserve",2020,12,21,NA,3,NA
NA,"Luanda","Reserve",2020,12,22,NA,1,NA
NA,"Memba_Mecuta_4","Reserve",2020,12,21,NA,3,NA
NA,"Quissanga","Reserve",2020,12,30,NA,1,NA
NA,"Memba_Nauguema","Managed Access",2020,12,24,NA,1,NA
NA,"Memba_Nauguema","Managed Access",2020,12,24,NA,1,NA
NA,"Memba_Nauguema","Managed Access",2020,12,24,NA,1,NA
NA,"Memba_Nauguema","Managed Access",2020,12,24,NA,1,NA
NA,"Memba_Nauguema","Managed Access",2020,12,24,NA,1,NA
NA,"Memba_Nauguema","Managed Access",2020,12,24,NA,1,NA
NA,"Memba_Nauguema","Managed Access",2020,12,24,NA,1,NA
NA,"Memba_Nauguema","Managed Access",2020,12,24,NA,1,NA
NA,"Luanda","Reserve",2020,12,22,NA,1,NA
NA,"Memba_Nauguema","Managed Access",2020,12,24,NA,1,NA
NA,"Memba_Nauguema","Managed Access",2020,12,24,NA,1,NA
NA,"Quissanga","Reserve",2020,12,30,NA,1,NA
NA,"Memba_Nauguema","Managed Access",2020,12,24,NA,1,NA
NA,"Memba_Nauguema","Managed Access",2020,12,24,NA,2,NA
NA,"Memba_Nauguema","Managed Access",2020,12,24,NA,2,NA
NA,"Memba_Nauguema","Managed Access",2020,12,24,NA,2,NA
NA,"Memba_Nauguema","Managed Access",2020,12,24,NA,2,NA
NA,"Memba_Nauguema","Managed Access",2020,12,24,NA,2,NA
NA,"Quissanga","Reserve",2020,12,30,NA,2,NA
NA,"Quissanga","Reserve",2020,12,30,NA,2,NA
NA,"Quissanga","Reserve",2020,12,30,NA,2,NA
NA,"Luanda","Reserve",2020,12,22,NA,1,NA
NA,"Quissanga","Reserve",2020,12,30,NA,2,NA
NA,"Quissanga","Reserve",2020,12,30,NA,2,NA
NA,"Quissanga","Reserve",2020,12,30,NA,1,NA
NA,"Quissanga","Reserve",2020,12,30,NA,2,NA
NA,"Quissanga","Reserve",2020,12,30,NA,2,NA
NA,"Quissanga","Reserve",2020,12,30,NA,2,NA
NA,"Luanda","Reserve",2020,12,22,NA,1,NA
NA,"Luanda","Reserve",2020,12,22,NA,1,NA
NA,"Luanda","Reserve",2020,12,22,NA,2,NA
NA,"Luanda","Reserve",2020,12,22,NA,2,NA
NA,"Quissanga","Reserve",2020,12,30,NA,1,NA
NA,"Luanda","Reserve",2020,12,22,NA,2,NA
NA,"Luanda","Reserve",2020,12,22,NA,2,NA
NA,"Luanda","Reserve",2020,12,22,NA,2,NA
NA,"Luanda","Reserve",2020,12,22,NA,2,NA
NA,"Quissanga","Reserve",2020,12,30,NA,2,NA
NA,"Luanda","Reserve",2020,12,22,NA,2,NA
NA,"Quissanga","Reserve",2020,12,30,NA,3,NA
NA,"Luanda","Reserve",2020,12,22,NA,2,NA
NA,"Luanda","Reserve",2020,12,22,NA,3,NA
NA,"Luanda","Reserve",2020,12,22,NA,3,NA
NA,"Luanda","Reserve",2020,12,22,NA,3,NA
NA,"Luanda","Reserve",2020,12,22,NA,3,NA
NA,"Quissanga","Reserve",2020,12,30,NA,1,NA
NA,"Luanda","Reserve",2020,12,22,NA,3,NA
NA,"Luanda","Reserve",2020,12,22,NA,3,NA
NA,"Luanda","Reserve",2020,12,22,NA,3,NA
NA,"Luanda","Reserve",2020,12,22,NA,3,NA
NA,"Luanda","Reserve",2020,12,22,NA,3,NA
NA,"Quissanga","Reserve",2020,12,30,NA,3,NA
NA,"Luanda","Reserve",2020,12,22,NA,3,NA
NA,"Memba_Mecuta_1","Reserve",2020,12,20,NA,1,NA
NA,"Memba_Mecuta_1","Reserve",2020,12,20,NA,1,NA
NA,"Memba_Mecuta_1","Reserve",2020,12,20,NA,1,NA
NA,"Memba_Mecuta_1","Reserve",2020,12,20,NA,2,NA
NA,"Quissanga","Reserve",2020,12,30,NA,1,NA
NA,"Memba_Mecuta_1","Reserve",2020,12,20,NA,2,NA
NA,"Memba_Mecuta_1","Reserve",2020,12,20,NA,3,NA
NA,"Memba_Mecuta_1","Reserve",2020,12,20,NA,3,NA
NA,"Memba_Mecuta_1","Reserve",2020,12,20,NA,3,NA
NA,"Memba_Mecuta_1","Reserve",2020,12,20,NA,3,NA
NA,"Quissanga","Reserve",2020,12,30,NA,3,NA
NA,"Quissanga","Reserve",2020,12,30,NA,3,NA
