"Methodology *","Site *","Management *","Sample date: Year *","Sample date: Month *","Sample date: Day *","Depth *","Transect number *","old_attribute","Benthic attribute *"
NA,"Iniban","Reserve",2022,4,5,NA,1,"Ctenactis","Ctenactis"
NA,"Iniban","Reserve",2022,4,5,NA,1,"Cyphastrea","Cyphastrea"
NA,"Iniban","Reserve",2022,4,5,NA,1,"Dead Coral with Algae",NA
NA,"Iniban","Reserve",2022,4,5,NA,1,"Dead coral",NA
NA,"Iniban","Reserve",2022,4,5,NA,1,"Diploastrea","Diploastrea"
NA,"Iniban","Reserve",2022,4,5,NA,1,"Favia","Favia"
NA,"Iniban","Reserve",2022,4,5,NA,1,"Merulina","Merulina"
NA,"Iniban","Reserve",2022,4,5,NA,1,"Montastrea","Montastrea"
NA,"Iniban","Reserve",2022,4,5,NA,1,"Pachyseris","Pachyseris"
NA,"Iniban","Reserve",2022,4,5,NA,1,"Pectinia","Pectinia"
NA,"Iniban","Reserve",2022,4,5,NA,1,"Platygyra","Platygyra"
NA,"Iniban","Reserve",2022,4,5,NA,1,"Porites","Porites"
NA,"Iniban","Reserve",2022,4,5,NA,1,"Psammocora","Psammocora"
NA,"Iniban","Reserve",2022,4,5,NA,1,"Rubble",NA
NA,"Iniban","Reserve",2022,4,5,NA,1,"Sand",NA
NA,"Iniban","Reserve",2022,4,5,NA,1,"Silt",NA
NA,"Iniban","Reserve",2022,4,5,NA,1,"Sponge",NA
NA,"Iniban","Reserve",2022,4,5,NA,1,"Tape, wand, block",NA
NA,"Iniban","Reserve",2022,4,5,NA,2,"Anemone",NA
NA,"Iniban","Reserve",2022,4,5,NA,2,"Dead Coral with Algae",NA
NA,"Iniban","Reserve",2022,4,5,NA,2,"Diploastrea","Diploastrea"
NA,"Iniban","Reserve",2022,4,5,NA,2,"Echinophyllia","Echinophyllia"
NA,"Iniban","Reserve",2022,4,5,NA,2,"Echinopora","Echinopora"
NA,"Iniban","Reserve",2022,4,5,NA,2,"Favia","Favia"
NA,"Iniban","Reserve",2022,4,5,NA,2,"Goniastrea","Goniastrea"
NA,"Iniban","Reserve",2022,4,5,NA,2,"Isopora","Isopora"
NA,"Iniban","Reserve",2022,4,5,NA,2,"Porites","Porites"
NA,"Iniban","Reserve",2022,4,5,NA,2,"Rubble",NA
NA,"Iniban","Reserve",2022,4,5,NA,2,"Sand",NA
NA,"Iniban","Reserve",2022,4,5,NA,2,"Silt",NA
NA,"Iniban","Reserve",2022,4,5,NA,2,"Sponge",NA
NA,"Iniban","Reserve",2022,4,5,NA,2,"Tape, wand, block",NA
