"name","latitude","longitude","country","notes","reef_type","reef_zone","exposure"
"10",16.397,-863.09,"Honduras",NA,NA,NA,NA
"17",16.41,-862.64,"Honduras",NA,NA,NA,NA
"18",16.39,-863.45,"Honduras",NA,NA,NA,NA
"19",16.389,-863.51,"Honduras",NA,NA,NA,NA
"1MBPC",15.9097,-87.9302,"Honduras",NA,NA,NA,NA
"20",16.389,-863.47,"Honduras",NA,NA,NA,NA
"21",16.391,-863.24,"Honduras",NA,NA,NA,NA
"22",16.409,-862.62,"Honduras",NA,NA,NA,NA
"2MBPC",15.8872,-87.9368,"Honduras",NA,NA,NA,NA
"4MBPC",15.8601,-88.0123,"Honduras",NA,NA,NA,NA
"5MBPC",15.8388,-88.02,"Honduras",NA,NA,NA,NA
"6",16.394,-863.13,"Honduras",NA,NA,NA,NA
"6MBPC",15.8425,-88.0025,"Honduras",NA,NA,NA,NA
"7",16.4,-862.89,"Honduras",NA,NA,NA,NA
"7MBPC",15.825,-88.0234,"Honduras",NA,NA,NA,NA
"8MBPC",15.8079,-87.9886,"Honduras",NA,NA,NA,NA
"Bajo calderon (2)",16.9276,-86.0529,"Honduras",NA,NA,NA,NA
"Bajo calderon (5)",16.0149,-86.0428,"Honduras",NA,NA,NA,NA
"Bajo costa azul 1",15.88581,-87.93247,"Honduras",NA,NA,NA,NA
"Bajo costa azul 2",15.89761,-87.93827,"Honduras",NA,NA,NA,NA
"Bajo panama",15.85144,-87.97139,"Honduras",NA,NA,NA,NA
"Calderon (4)",16.0281,-86.0227,"Honduras",NA,NA,NA,NA
"Cayo Blanco",15.928,-86.037,"Honduras",NA,NA,NA,NA
"Cayo blanco",15.9276,-86.0399,"Honduras",NA,NA,NA,NA
"GLIA2",16.4162,-85.8984,"Honduras",NA,NA,NA,NA
"GLIA3",16.4248,-85.9044,"Honduras",NA,NA,NA,NA
"GMCA1",16.52,-85.85,"Honduras",NA,NA,NA,NA
"GMIA1",16.50798,-85.888898,"Honduras",NA,NA,NA,NA
"GMIA1",16.50798,-85.888898,"Honduras",NA,NA,NA,NA
"GMIA2",16.486,-85.91656,"Honduras",NA,NA,NA,NA
"Glca1",16.44315,-85.8612,"Honduras",NA,NA,NA,NA
"Glca2",16.44,-85.8599,"Honduras",NA,NA,NA,NA
"Glca4",16.48,-85.8623,"Honduras",NA,NA,NA,NA
"Glia1",16.4199,-85.9,"Honduras",NA,NA,NA,NA
"Glia2",16.4162,-85.8984,"Honduras",NA,NA,NA,NA
"Glia3",16.4248,-85.9044,"Honduras",NA,NA,NA,NA
"Gmc3",-16.44459,-85.94862,"Honduras",NA,NA,NA,NA
"Gmca1",16.52,-85.85,"Honduras",NA,NA,NA,NA
"Gmca2",16.4702,-85.9202,"Honduras",NA,NA,NA,NA
"Gmia1",16.4820507692308,-85.8882352459016,"Honduras",NA,NA,NA,NA
"Gmia2",16.486,-85.91656,"Honduras",NA,NA,NA,NA
"Gmia3",16.4969,-85.9032,"Honduras",NA,NA,NA,NA
"MSF1",15.90337651,-86.19829663,"Honduras",NA,NA,NA,NA
"MSF2",15.89473318,-86.14831076,"Honduras",NA,NA,NA,NA
"Mil-1",1.87705514018692,-4.92352990654206,"Honduras",NA,NA,NA,NA
"Mil-2",6.73521,-175.666,"Honduras",NA,NA,NA,NA
"Mil-3",0.186795342465753,-4.81432876712329,"Honduras",NA,NA,NA,NA
"Point 6",16.394,-863.13,"Honduras",NA,NA,NA,NA
"Punto  7",16.4,-862.89,"Honduras",NA,NA,NA,NA
"Punto 10",16.397,-863.09,"Honduras",NA,NA,NA,NA
"Punto 11",16.398,-862.99,"Honduras",NA,NA,NA,NA
"Punto 17",16.41,-862.64,"Honduras",NA,NA,NA,NA
"Punto 8",16.406,-862.74,"Honduras",NA,NA,NA,NA
"UOCA1",16.0604,-86.965,"Honduras",NA,NA,NA,NA
"UOIA2",16.0742,-86.9845,"Honduras",NA,NA,NA,NA
"UWIA2",16.0784,-87.0105,"Honduras",NA,NA,NA,NA
