"name","latitude","longitude","country","notes","reef_type","reef_zone","exposure"
"D002",-0.818883333,130.9089444,"Indonesia",NA,NA,NA,NA
"D004",-0.897358333,130.8300333,"Indonesia",NA,NA,NA,NA
"D005",-0.788088889,130.6381,"Indonesia",NA,NA,NA,NA
"D006",-0.828388889,130.44775,"Indonesia",NA,NA,NA,NA
"D007",-0.890130556,130.9231333,"Indonesia",NA,NA,NA,NA
"D010",-0.756213889,130.755725,"Indonesia",NA,NA,NA,NA
"D019",-0.793208333,130.5691417,"Indonesia",NA,NA,NA,NA
"D022",-0.766388889,130.9062083,"Indonesia",NA,NA,NA,NA
"D023",-0.712569444,130.6391556,"Indonesia",NA,NA,NA,NA
"D024",-0.9376,130.6383528,"Indonesia",NA,NA,NA,NA
"D025",-0.688905556,130.7896861,"Indonesia",NA,NA,NA,NA
"D026",-0.688569444,130.7138944,"Indonesia",NA,NA,NA,NA
"D027",-0.888269444,131.0260056,"Indonesia",NA,NA,NA,NA
"D028",-0.775902778,130.6799,"Indonesia",NA,NA,NA,NA
"D037",-0.881275,130.7397,"Indonesia",NA,NA,NA,NA
"D038",-0.791755556,130.5100861,"Indonesia",NA,NA,NA,NA
"D041",-0.657063889,130.600925,"Indonesia",NA,NA,NA,NA
"D046",-0.849577778,130.8772111,"Indonesia",NA,NA,NA,NA
"D048",-0.921083333,130.3665639,"Indonesia",NA,NA,NA,NA
"KAPUN1",-5.233838889,122.7005056,"Indonesia",NA,NA,NA,NA
"KAPUN2",-5.21999566037736,122.738828113208,"Indonesia",NA,NA,NA,NA
"KAPUN3",-5.20359,122.72163,"Indonesia",NA,NA,NA,NA
"KAPUN4",-5.25015,122.70133,"Indonesia",NA,NA,NA,NA
"KAPUN5",-5.101366667,122.7511861,"Indonesia",NA,NA,NA,NA
"KAPUN6",-5.28555,122.68118,"Indonesia",NA,NA,NA,NA
"KAPUN7",-5.23989,122.73993,"Indonesia",NA,NA,NA,NA
"KAPUN8",-5.16226,122.74267,"Indonesia",NA,NA,NA,NA
"KULIS1",-4.81342,123.12096,"Indonesia",NA,NA,NA,NA
"KULIS2",-4.84111,123.12006,"Indonesia",NA,NA,NA,NA
"KULIS3",-4.78552,123.15209,"Indonesia",NA,NA,NA,NA
"KULIS4",-4.81598,123.16839,"Indonesia",NA,NA,NA,NA
"KULIS5",-4.819219444,123.1669972,"Indonesia",NA,NA,NA,NA
"KULIS6",-4.83437,123.1691,"Indonesia",NA,NA,NA,NA
"KULIS7",-4.8075,123.167,"Indonesia",NA,NA,NA,NA
"KULIS8",-4.79436,123.14523,"Indonesia",NA,NA,NA,NA
"L019",-0.912169444,130.4308056,"Indonesia",NA,NA,NA,NA
"LABEN1",-3.57245,122.36899,"Indonesia",NA,NA,NA,NA
"LABEN2",-3.57135,122.35062,"Indonesia",NA,NA,NA,NA
"LABEN3",-3.56404,122.34877,"Indonesia",NA,NA,NA,NA
"LABEN4",-3.49309,122.47865,"Indonesia",NA,NA,NA,NA
"LABEN5",-3.47993,122.49,"Indonesia",NA,NA,NA,NA
"LABEN6",-3.49335,122.48724,"Indonesia",NA,NA,NA,NA
"LASOL1",-3.68464,122.42371,"Indonesia",NA,NA,NA,NA
"LASOL2",-3.68794,122.42447,"Indonesia",NA,NA,NA,NA
"LASOL3",-3.7483,122.36671,"Indonesia",NA,NA,NA,NA
"LASOL4",-3.73534,122.35133,"Indonesia",NA,NA,NA,NA
"LASOL5",-3.72622,122.39161,"Indonesia",NA,NA,NA,NA
"LASOL6",-3.74365,122.43586,"Indonesia",NA,NA,NA,NA
"M002",-0.241525965,130.866978,"Indonesia",NA,NA,NA,NA
"M003",-0.397793977,131.065914,"Indonesia",NA,NA,NA,NA
"M004",-0.439265035,130.896974,"Indonesia",NA,NA,NA,NA
"M005",-0.420499966,130.928089,"Indonesia",NA,NA,NA,NA
"M006",-0.387880029,131.084993,"Indonesia",NA,NA,NA,NA
"M008",-0.342734009,131.054118,"Indonesia",NA,NA,NA,NA
"M013",-0.381744979,131.094053,"Indonesia",NA,NA,NA,NA
"M015",-0.405335007,131.035713,"Indonesia",NA,NA,NA,NA
"M016",-0.405610017,130.943,"Indonesia",NA,NA,NA,NA
"M017",-0.432716003,130.915949,"Indonesia",NA,NA,NA,NA
"M019",-0.428739041,130.919351,"Indonesia",NA,NA,NA,NA
"M020",-0.435214983,130.908931,"Indonesia",NA,NA,NA,NA
"M021",-0.40926201,130.981877,"Indonesia",NA,NA,NA,NA
"M022",-0.406815,130.992574,"Indonesia",NA,NA,NA,NA
"M023",-0.388381016,131.079637,"Indonesia",NA,NA,NA,NA
"MAGIN1",-4.77327,122.26115,"Indonesia",NA,NA,NA,NA
"MAGIN2",-4.76208,122.34079,"Indonesia",NA,NA,NA,NA
"MAGIN3",-4.81858,122.291,"Indonesia",NA,NA,NA,NA
"MAGIN4",-4.8431,122.21632,"Indonesia",NA,NA,NA,NA
"MAGIN5",-4.86419,122.25579,"Indonesia",NA,NA,NA,NA
"MAGIN6",-4.93512,122.32075,"Indonesia",NA,NA,NA,NA
"MAGIN7",-4.88772,122.28965,"Indonesia",NA,NA,NA,NA
"MATAO1",-4.91954,122.08707,"Indonesia",NA,NA,NA,NA
"MATAO2",-4.88977,122.05219,"Indonesia",NA,NA,NA,NA
"MATAO3",-4.89097,122.03858,"Indonesia",NA,NA,NA,NA
"MATAO4",-4.84567,122.11833,"Indonesia",NA,NA,NA,NA
"MATAO5",-4.83917,122.14491,"Indonesia",NA,NA,NA,NA
"MATAO6",-4.81514,122.15236,"Indonesia",NA,NA,NA,NA
"MATAO7",-4.865491777,122.0504294,"Indonesia",NA,NA,NA,NA
"MAWAS1",-5.22353,122.26439,"Indonesia",NA,NA,NA,NA
"MAWAS2",-5.27672,122.26852,"Indonesia",NA,NA,NA,NA
"MAWAS3",-5.28481,122.25244,"Indonesia",NA,NA,NA,NA
"MAWAS4",-5.35652,122.25968,"Indonesia",NA,NA,NA,NA
"MAWAS5",-5.36989,122.26509,"Indonesia",NA,NA,NA,NA
"MAWAS6",-5.39834,122.27374,"Indonesia",NA,NA,NA,NA
"MAWAS7",-5.39842,122.3273,"Indonesia",NA,NA,NA,NA
