"name","latitude","longitude","country","notes","reef_type","reef_zone","exposure"
"1",11.40093,122.01504,"Philippines",NA,NA,NA,NA
"2",11.41241,122.02777,"Philippines",NA,NA,NA,NA
"3",11.4121,122.02798,"Philippines",NA,NA,NA,NA
"A: Tambanan Fish Sanctuary",7.31032,122.80001,"Philippines",NA,NA,NA,NA
"A: Agay-ayan-Caloco Marine Protected Areas",13.99115,123.41275,"Philippines",NA,NA,NA,NA
"A: Alegria Marine Protected Area",10.06158,126.06829,"Philippines",NA,NA,NA,NA
"A: Bangaan Marine Sanctuary",7.4875,122.41495,"Philippines",NA,NA,NA,NA
"A: Buluan Island Marine Sanctuary",7.68707,122.54477,"Philippines",NA,NA,NA,NA
"A: Burgos Marine Protected Area",10.0238,126.07485,"Philippines",NA,NA,NA,NA
"A: Caub Marine Sanctuary",9.90209,125.88267,"Philippines",NA,NA,NA,NA
"A: Corregidor Fish Sanctuary",9.68804,126.06481,"Philippines",NA,NA,NA,NA
"A: Ermita Marine Protected Area",10.42764,123.43484,"Philippines",NA,NA,NA,NA
"A: Iniban Marine Sanctuary",9.88926,123.14869,"Philippines",NA,NA,NA,NA
"A: Lampinigan Fish Sanctuary",7.65287,123.07174,"Philippines",NA,NA,NA,NA
"A: Litayun Fish Sanctuary",7.43699,122.98296,"Philippines",NA,NA,NA,NA
"A: Mabuhay Marine Park",7.40308,122.94822,"Philippines",NA,NA,NA,NA
"A: Mantalip Marine Reserve",9.79871,123.16,"Philippines",NA,NA,NA,NA
"A: Moyong Fish Sanctuary",7.58108,123.0469,"Philippines",NA,NA,NA,NA
"A: Roseller T. Lim Marine Protected Area",7.6296,122.49483,"Philippines",NA,NA,NA,NA
"A: San Juan Marine Protected Area",10.45482,123.44734,"Philippines",NA,NA,NA,NA
"A: Sand bar Marine Sanctuary",7.53548,122.72639,"Philippines",NA,NA,NA,NA
"A: Takot Siari Marine Protected Area",7.42628,122.76968,"Philippines",NA,NA,NA,NA
"A: Tandu Balasan Marine Protected Area",7.77806,122.70861,"Philippines",NA,NA,NA,NA
"A: Tinigbas Marine Sanctuary",11.7551,121.86043,"Philippines",NA,NA,NA,NA
"AGCA",13.9780479496669,123.420514558105,"Philippines",NA,NA,NA,NA
"AGCA",13.9780479496669,123.420514558105,"Philippines",NA,NA,NA,NA
"AGCA Integrated Marine and Coastal Wetland Sanctuary",13.9898117148263,123.416074791882,"Philippines",NA,NA,NA,NA
"AGCA Integrated Marine and Coastal Wetland Sanctuary",13.9898117148263,123.416074791882,"Philippines",NA,NA,NA,NA
"Abriera Inside Station 1",11.5803832089552,122.085620671642,"Philippines",NA,NA,NA,NA
"Alegria Inside Station 1",10.0625,126.06673,"Philippines",NA,NA,NA,NA
"Alegria Inside Station 2",10.06158,126.06829,"Philippines",NA,NA,NA,NA
"Atulayan Bay Fish Sanctuary and Marine Reserve",13.588664333795,123.564602288089,"Philippines",NA,NA,NA,NA
"Atulayan Bay Fish Sanctuary and Marine Reserve",13.588664333795,123.564602288089,"Philippines",NA,NA,NA,NA
"Ayoke",9.39276845652174,126.043055891304,"Philippines",NA,NA,NA,NA
"Ayoke",9.39276845652174,126.043055891304,"Philippines",NA,NA,NA,NA
"Ayoke Marine Protected Area",9.39592718058986,126.039414118698,"Philippines",NA,NA,NA,NA
"Ayoke Marine Protected Area",9.39592718058986,126.039414118698,"Philippines",NA,NA,NA,NA
"B: Tambanan Fish Sanctuary",7.3056,122.79993,"Philippines",NA,NA,NA,NA
"B: Agay-ayan-Caloco Marine Protected Areas",13.99115,123.41275,"Philippines",NA,NA,NA,NA
"B: Bangaan Marine Sanctuary",7.4974,122.43578,"Philippines",NA,NA,NA,NA
"B: Buluan Island Marine Sanctuary",7.68718,122.5328,"Philippines",NA,NA,NA,NA
"B: Caub Marine Sanctuary",9.90821,125.88614,"Philippines",NA,NA,NA,NA
"B: Corregidor Fish Sanctuary",9.69868,126.07593,"Philippines",NA,NA,NA,NA
"B: Ermita Marine Protected Area",10.4465,123.439,"Philippines",NA,NA,NA,NA
"B: Iniban Marine Sanctuary",9.8910439800995,123.14849318408,"Philippines",NA,NA,NA,NA
"B: Litayun Fish Sanctuary",7.44651,122.96776,"Philippines",NA,NA,NA,NA
"B: Mabuhay Marine Park",7.41658,122.94522,"Philippines",NA,NA,NA,NA
"B: Mantalip Marine Reserve",9.79871,123.16,"Philippines",NA,NA,NA,NA
"B: Takot Siari Marine Protected Area",7.42882,122.77838,"Philippines",NA,NA,NA,NA
"B: Tandu Balasan Marine Protected Area",7.77806,122.70861,"Philippines",NA,NA,NA,NA
"B: Tinigbas Marine Sanctuary",11.75718,121.85178,"Philippines",NA,NA,NA,NA
"Bahurang Aurora Fishery Reserve",13.7194236720623,120.275894322542,"Philippines",NA,NA,NA,NA
"Bahurang Aurora Fishery Reserve",13.7194236720623,120.275894322542,"Philippines",NA,NA,NA,NA
"Bahurang Vigo Fishery Reserve",13.8459178217513,120.190705546899,"Philippines",NA,NA,NA,NA
"Bahurang Vigo Fishery Reserve",13.8459178217513,120.190705546899,"Philippines",NA,NA,NA,NA
"Bolisong Marine Sanctuary",9.704874935164,123.160478967709,"Philippines",NA,NA,NA,NA
"Bolisong Marine Sanctuary",9.704874935164,123.160478967709,"Philippines",NA,NA,NA,NA
"Buluan Island Marine Sanctuary",7.68359518625526,122.542269781627,"Philippines",NA,NA,NA,NA
"Buluan Island Marine Sanctuary",7.68359518625526,122.542269781627,"Philippines",NA,NA,NA,NA
