"name","latitude","longitude","management","country","notes","reef_type","reef_zone","exposure"
"10",-86.309,16.397,"Reserve","Honduras",NA,NA,NA,NA
"11",-86.299,16.398,"Reserve","Honduras",NA,NA,NA,NA
"18",-86.345,16.39,"Reserve","Honduras",NA,NA,NA,NA
"19",-86.351,16.389,"Reserve","Honduras",NA,NA,NA,NA
"20",-86.347,16.389,"Reserve","Honduras",NA,NA,NA,NA
"21",-86.324,16.391,"Reserve","Honduras",NA,NA,NA,NA
"22",-86.262,16.409,"Reserve","Honduras",NA,NA,NA,NA
"7",-86.289,16.4,"Reserve","Honduras",NA,NA,NA,NA
"8",-86.274,16.406,"Reserve","Honduras",NA,NA,NA,NA
"UOIA2",NA,NA,"Reserve","Honduras",NA,NA,NA,NA
"UWIA2",NA,NA,"Reserve","Honduras",NA,NA,NA,NA
"6",-86.313,16.394,"Reserve","Honduras",NA,NA,NA,NA
"CAYO BLANCO",NA,NA,"Reserve","Honduras",NA,NA,NA,NA
"UOCA1",NA,NA,"Reserve","Honduras",NA,NA,NA,NA
"BAJO SECO",NA,NA,"Reserve","Honduras",NA,NA,NA,NA
"MIL3",NA,NA,"Reserve","Honduras",NA,NA,NA,NA
"MIL1",NA,NA,"Reserve","Honduras",NA,NA,NA,NA
"MIL2",NA,NA,"Reserve","Honduras",NA,NA,NA,NA
"MBPC-4",NA,NA,"Reserve","Honduras",NA,NA,NA,NA
"MBPC-8",NA,NA,"Reserve","Honduras",NA,NA,NA,NA
"17",-86.264,16.41,"Reserve","Honduras",NA,NA,NA,NA
"MBPC-2",NA,NA,"Reserve","Honduras",NA,NA,NA,NA
"MBPC-1",NA,NA,"Reserve","Honduras",NA,NA,NA,NA
"MBPC-7",NA,NA,"Reserve","Honduras",NA,NA,NA,NA
"MBPC-5",NA,NA,"Reserve","Honduras",NA,NA,NA,NA
"NMSF1",NA,NA,"Reserve","Honduras",NA,NA,NA,NA
"MBPC-6",NA,NA,"Reserve","Honduras",NA,NA,NA,NA
