"name","latitude","longitude","management","country","notes","reef_type","reef_zone","exposure"
"MAGIN1",-4.77327,122.26115,"Managed Access","Indonesia",NA,NA,NA,NA
"TIWOR1",-4.5773,122.30295,"Managed Access","Indonesia",NA,NA,NA,NA
"TALRAY1",-5.47597,121.9236,"Reserve","Indonesia",NA,NA,NA,NA
"TIWOR2",-4.58446,122.33176,"Managed Access","Indonesia",NA,NA,NA,NA
"MORAM6",-4.12624,122.72997,"Managed Access","Indonesia",NA,NA,NA,NA
"TALRAY2",-5.4931,121.93444,"Managed Access","Indonesia",NA,NA,NA,NA
"WAWON6",-4.02478,123.22365,"Reserve","Indonesia",NA,NA,NA,NA
"SAGOR4",-5.30793,121.76372,"Managed Access","Indonesia",NA,NA,NA,NA
"MATAO6",-4.81514,122.15236,"Managed Access","Indonesia",NA,NA,NA,NA
"SAGOR2",-5.33695,121.75924,"Managed Access","Indonesia",NA,NA,NA,NA
"TALRAY5",-5.49253,122.07934,"Reserve","Indonesia",NA,NA,NA,NA
"WAWON1",-4.01485,123.07786,"Managed Access","Indonesia",NA,NA,NA,NA
"SAGOR6",-5.23678,121.76996,"Managed Access","Indonesia",NA,NA,NA,NA
"WAWON4",-4.00761,123.17924,"Managed Access","Indonesia",NA,NA,NA,NA
"KULIS3",-4.78552,123.15209,"Managed Access","Indonesia",NA,NA,NA,NA
"MAGIN6",-4.93512,122.32075,"Managed Access","Indonesia",NA,NA,NA,NA
"TALRAY3",-5.52145,121.99358,"Managed Access","Indonesia",NA,NA,NA,NA
"TALRAY4",-5.48832,122.05472,"Reserve","Indonesia",NA,NA,NA,NA
"TIWOR6",-4.6591,122.29202,"Managed Access","Indonesia",NA,NA,NA,NA
"KULIS6",-4.83437,123.1691,"Managed Access","Indonesia",NA,NA,NA,NA
"MATAO1",-4.91954,122.08707,"Managed Access","Indonesia",NA,NA,NA,NA
"SIOMP2",-5.66852,122.48435,"Reserve","Indonesia",NA,NA,NA,NA
"SAGOR1",-5.34738,121.78023,"Managed Access","Indonesia",NA,NA,NA,NA
"MAWAS2",-5.27672,122.26852,"Managed Access","Indonesia",NA,NA,NA,NA
"MAGIN3",-4.81858,122.291,"Managed Access","Indonesia",NA,NA,NA,NA
"SIONT6",-5.417,123.08949,"Managed Access","Indonesia",NA,NA,NA,NA
"PASIK3",-5.09188,122.61497,"Managed Access","Indonesia",NA,NA,NA,NA
"PASIK4",-5.1229,122.61387,"Managed Access","Indonesia",NA,NA,NA,NA
"SIOMP1",-5.68043,122.45918,"Managed Access","Indonesia",NA,NA,NA,NA
"MAWAS6",-5.39834,122.27374,"Managed Access","Indonesia",NA,NA,NA,NA
"SIOMP4",-5.68715,122.54721,"Managed Access","Indonesia",NA,NA,NA,NA
"PASIK5",-5.18488,122.61737,"Managed Access","Indonesia",NA,NA,NA,NA
"KAPUN1",-5.23384,122.70051,"Managed Access","Indonesia",NA,NA,NA,NA
"KAPUN2",-5.18556,122.73413,"Reserve","Indonesia",NA,NA,NA,NA
"KAPUN3",-5.20211,122.71781,"Reserve","Indonesia",NA,NA,NA,NA
"KAPUN4",-5.25015,122.70133,"Managed Access","Indonesia",NA,NA,NA,NA
"KAPUN5",-5.10137,122.75119,"Managed Access","Indonesia",NA,NA,NA,NA
"KULIS1",-4.81342,123.12096,"Managed Access","Indonesia",NA,NA,NA,NA
"KULIS2",-5.31075,123.20885,"Managed Access","Indonesia",NA,NA,NA,NA
"KULIS4",-4.81598,123.16839,"Managed Access","Indonesia",NA,NA,NA,NA
"KULIS5",-4.81922,123.167,"Managed Access","Indonesia",NA,NA,NA,NA
"LABEN1",-3.57245,122.36899,"Managed Access","Indonesia",NA,NA,NA,NA
"LABEN2",-3.57135,122.35062,"Managed Access","Indonesia",NA,NA,NA,NA
"LABEN3",-3.56404,122.34877,"Managed Access","Indonesia",NA,NA,NA,NA
