"name","latitude","longitude","management","country","notes","reef_type","reef_zone","exposure"
"Abiera MPA",11.57927,122.08592,"Reserve","Philippines",NA,NA,NA,NA
"Agay-ayan",13.9653448275862,123.423918565517,"Reserve","Philippines",NA,NA,NA,NA
"Agay-ayan",13.9653448275862,123.423918565517,"Managed Access","Philippines",NA,NA,NA,NA
"Alegria MPA",10.0621515151515,126.067320909091,"Reserve","Philippines",NA,NA,NA,NA
"Alegria MPA Inside Station 1",10.0625,126.06673,"Reserve","Philippines",NA,NA,NA,NA
"Alegria MPA Inside Station 2",10.06158,126.06829,"Reserve","Philippines",NA,NA,NA,NA
"Bangaan",7.49091825726141,122.42229253112,"Reserve","Philippines",NA,NA,NA,NA
"Bangaan",7.49091825726141,122.42229253112,"Managed Access","Philippines",NA,NA,NA,NA
"Buluan",7.68478887323944,122.545191549296,"Reserve","Philippines",NA,NA,NA,NA
"Buluan",7.68478887323944,122.545191549296,"Managed Access","Philippines",NA,NA,NA,NA
"Buluan Island Marine Sanctuary",7.68478887323944,122.545191549296,"Reserve","Philippines",NA,NA,NA,NA
"Buluan Island Marine Sanctuary",7.68478887323944,122.545191549296,"Managed Access","Philippines",NA,NA,NA,NA
"Burgos MPA",10.0238,126.07485,"Reserve","Philippines",NA,NA,NA,NA
"Burgos MPA Station 1",10.03171,126.07484,"Reserve","Philippines",NA,NA,NA,NA
"Burgos MPA Station 2",10.0238,126.07485,"Reserve","Philippines",NA,NA,NA,NA
"Burgos Outside Station 1",10.03171,126.07484,"Managed Access","Philippines",NA,NA,NA,NA
"Burgos Outside Station 11",10.0268,126.07419,"Managed Access","Philippines",NA,NA,NA,NA
"Burgos Outside Station 12",10.0268,126.07419,"Managed Access","Philippines",NA,NA,NA,NA
"Burgos Outside Station 17",10.0268,126.07419,"Managed Access","Philippines",NA,NA,NA,NA
"Burgos Outside Station 19",10.0268,126.07419,"Managed Access","Philippines",NA,NA,NA,NA
"Burgos Outside Station 2",10.0268,126.07419,"Managed Access","Philippines",NA,NA,NA,NA
"Burgos Outside Station 21",10.0268,126.07419,"Managed Access","Philippines",NA,NA,NA,NA
"Burgos Outside Station 22",10.0268,126.07419,"Managed Access","Philippines",NA,NA,NA,NA
"Burgos Outside Station 24",10.0268,126.07419,"Managed Access","Philippines",NA,NA,NA,NA
