Site *,Management *,Sample date: Year *,Sample date: Month *,Sample date: Day *,Depth *,Transect number *,Transect length surveyed *,Width *,Fish size bin *,Reef slope,Observer emails *,Fish name *,Size *,Count *
Mecumbo,Managed Access,2020,12,23,10,2,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Siganus luridus,25.5,1
Mecumbo,Managed Access,2020,12,23,10,2,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Pseudochromis fuscus,8,1
Mecumbo,Managed Access,2020,12,23,10,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Lutjanus fulviflamma,15.5,16
Mecumbo,Managed Access,2020,12,22,3,2,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,flat,marianoviz1988@gmail.com,Siganus luridus,2.5,350
Luanda_1,Reserve,2020,12,21,9,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Amphiprion akallopisos,8,5
Luanda_1,Reserve,2020,12,21,9,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Abudefduf sparoides,8,4
Mecumbo,Managed Access,2020,12,23,10,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Lutjanus kasmira,15.5,6
Luanda_1,Reserve,2020,12,21,9,2,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Amphiprion akallopisos,8,1
Luanda_1,Reserve,2020,12,21,9,2,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Halichoeres hortulanus,8,2
Luanda_1,Reserve,2020,12,21,9,2,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Abudefduf vaigiensis,8,2
Luanda_1,Reserve,2020,12,21,9,1,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Halichoeres maculipinna,15.5,2
Mecumbo,Managed Access,2020,12,23,10,2,50,"Mixed: >10 cm & <35 cm @ 5 m, >=35 cm @ 20 m",1,slope,marianoviz1988@gmail.com,Chaetodon trifasciatus,2.5,2
