"ma_name","name","latitude","longitude","country","reef_type","reef_zone","reef_exposure"
"Batanta and Salawati Island","d002",-0.818883333,130.9089444,"Indonesia",NA,NA,NA
"Batanta and Salawati Island","d004",-0.897358333,130.8300333,"Indonesia",NA,NA,NA
"Batanta and Salawati Island","d005",-0.788088889,130.6381,"Indonesia",NA,NA,NA
"Batanta and Salawati Island","d006",-0.828388889,130.44775,"Indonesia",NA,NA,NA
"Batanta and Salawati Island","d007",-0.890130556,130.9231333,"Indonesia",NA,NA,NA
"Batanta and Salawati Island","d010",-0.756213889,130.755725,"Indonesia",NA,NA,NA
"Batanta and Salawati Island","d019",-0.793208333,130.5691417,"Indonesia",NA,NA,NA
"Batanta and Salawati Island","d022",-0.766388889,130.9062083,"Indonesia",NA,NA,NA
"Batanta and Salawati Island","d023",-0.712569444,130.6391556,"Indonesia",NA,NA,NA
"Batanta and Salawati Island","d024",-0.9376,130.6383528,"Indonesia",NA,NA,NA
"Batanta and Salawati Island","d025",-0.688905556,130.7896861,"Indonesia",NA,NA,NA
"Batanta and Salawati Island","d026",-0.688569444,130.7138944,"Indonesia",NA,NA,NA
"Batanta and Salawati Island","d027",-0.888269444,131.0260056,"Indonesia",NA,NA,NA
"Batanta and Salawati Island","d028",-0.775902778,130.6799,"Indonesia",NA,NA,NA
"Batanta and Salawati Island","d037",-0.881275,130.7397,"Indonesia",NA,NA,NA
"Batanta and Salawati Island","d038",-0.791755556,130.5100861,"Indonesia",NA,NA,NA
"Batanta and Salawati Island","d041",-0.657063889,130.600925,"Indonesia",NA,NA,NA
"Batanta and Salawati Island","d046",-0.849577778,130.8772111,"Indonesia",NA,NA,NA
"Batanta and Salawati Island","d048",-0.921083333,130.3665639,"Indonesia",NA,NA,NA
"Batanta and Salawati Island","l019",-0.912169444,130.4308056,"Indonesia",NA,NA,NA
"Kapuntori","kapun1",-5.233838889,122.7005056,"Indonesia",NA,NA,NA
"Kapuntori","kapun2",-5.21999566037736,122.738828113208,"Indonesia",NA,NA,NA
"Kapuntori","kapun3",-5.20359,122.72163,"Indonesia",NA,NA,NA
"Kapuntori","kapun4",-5.25015,122.70133,"Indonesia",NA,NA,NA
"Kapuntori","kapun5",-5.101366667,122.7511861,"Indonesia",NA,NA,NA
"Kapuntori","kapun6",-5.28555,122.68118,"Indonesia",NA,NA,NA
"Kapuntori","kapun7",-5.23989,122.73993,"Indonesia",NA,NA,NA
"Kapuntori","kapun8",-5.16226,122.74267,"Indonesia",NA,NA,NA
"Kulisusu","kulis1",-4.81342,123.12096,"Indonesia",NA,NA,NA
"Kulisusu","kulis2",-4.84111,123.12006,"Indonesia",NA,NA,NA
"Kulisusu","kulis3",-4.78552,123.15209,"Indonesia",NA,NA,NA
"Kulisusu","kulis4",-4.81598,123.16839,"Indonesia",NA,NA,NA
"Kulisusu","kulis5",-4.819219444,123.1669972,"Indonesia",NA,NA,NA
"Kulisusu","kulis6",-4.83437,123.1691,"Indonesia",NA,NA,NA
"Kulisusu","kulis7",-4.8075,123.167,"Indonesia",NA,NA,NA
"Kulisusu","kulis8",-4.79436,123.14523,"Indonesia",NA,NA,NA
"Labengki","laben1",-3.57245,122.36899,"Indonesia",NA,NA,NA
"Labengki","laben2",-3.57135,122.35062,"Indonesia",NA,NA,NA
"Labengki","laben3",-3.56404,122.34877,"Indonesia",NA,NA,NA
"Labengki","laben4",-3.49309,122.47865,"Indonesia",NA,NA,NA
"Labengki","laben5",-3.47993,122.49,"Indonesia",NA,NA,NA
"Labengki","laben6",-3.49335,122.48724,"Indonesia",NA,NA,NA
"Maginti","magin1",-4.77327,122.26115,"Indonesia",NA,NA,NA
"Maginti","magin2",-4.76208,122.34079,"Indonesia",NA,NA,NA
"Maginti","magin3",-4.81858,122.291,"Indonesia",NA,NA,NA
"Maginti","magin4",-4.8431,122.21632,"Indonesia",NA,NA,NA
"Maginti","magin5",-4.86419,122.25579,"Indonesia",NA,NA,NA
"Maginti","magin6",-4.93512,122.32075,"Indonesia",NA,NA,NA
"Maginti","magin7",-4.88772,122.28965,"Indonesia",NA,NA,NA
"Mataoleo","matao1",-4.91954,122.08707,"Indonesia",NA,NA,NA
"Mataoleo","matao2",-4.88977,122.05219,"Indonesia",NA,NA,NA
"Mataoleo","matao3",-4.89097,122.03858,"Indonesia",NA,NA,NA
"Mataoleo","matao4",-4.84567,122.11833,"Indonesia",NA,NA,NA
"Mataoleo","matao5",-4.83917,122.14491,"Indonesia",NA,NA,NA
"Mataoleo","matao6",-4.81514,122.15236,"Indonesia",NA,NA,NA
"Mataoleo","matao7",-4.865491777,122.0504294,"Indonesia",NA,NA,NA
"Mawasangka","mawas1",-5.22353,122.26439,"Indonesia",NA,NA,NA
"Mawasangka","mawas2",-5.27672,122.26852,"Indonesia",NA,NA,NA
"Mawasangka","mawas3",-5.28481,122.25244,"Indonesia",NA,NA,NA
"Mawasangka","mawas4",-5.35652,122.25968,"Indonesia",NA,NA,NA
"Mawasangka","mawas5",-5.36989,122.26509,"Indonesia",NA,NA,NA
"Mawasangka","mawas6",-5.39834,122.27374,"Indonesia",NA,NA,NA
"Mawasangka","mawas7",-5.39842,122.3273,"Indonesia",NA,NA,NA
"Mawasangka","mawas8",-5.31316,122.26286,"Indonesia",NA,NA,NA
"Mayalibit Bay","m002",-0.241525965,130.866978,"Indonesia",NA,NA,NA
"Mayalibit Bay","m003",-0.397793977,131.065914,"Indonesia",NA,NA,NA
"Mayalibit Bay","m004",-0.439265035,130.896974,"Indonesia",NA,NA,NA
"Mayalibit Bay","m005",-0.420499966,130.928089,"Indonesia",NA,NA,NA
"Mayalibit Bay","m006",-0.387880029,131.084993,"Indonesia",NA,NA,NA
"Mayalibit Bay","m008",-0.342734009,131.054118,"Indonesia",NA,NA,NA
"Mayalibit Bay","m013",-0.381744979,131.094053,"Indonesia",NA,NA,NA
"Mayalibit Bay","m015",-0.405335007,131.035713,"Indonesia",NA,NA,NA
"Mayalibit Bay","m016",-0.405610017,130.943,"Indonesia",NA,NA,NA
"Mayalibit Bay","m017",-0.432716003,130.915949,"Indonesia",NA,NA,NA
"Mayalibit Bay","m019",-0.428739041,130.919351,"Indonesia",NA,NA,NA
"Mayalibit Bay","m020",-0.435214983,130.908931,"Indonesia",NA,NA,NA
"Mayalibit Bay","m021",-0.40926201,130.981877,"Indonesia",NA,NA,NA
"Mayalibit Bay","m022",-0.406815,130.992574,"Indonesia",NA,NA,NA
"Mayalibit Bay","m023",-0.388381016,131.079637,"Indonesia",NA,NA,NA
"Pasi Kolaga","pasik1",-4.96714,122.7837,"Indonesia",NA,NA,NA
"Pasi Kolaga","pasik2",-4.9673,122.75213,"Indonesia",NA,NA,NA
"Pasi Kolaga","pasik3",-5.09188,122.61497,"Indonesia",NA,NA,NA
"Pasi Kolaga","pasik4",-5.1229,122.61387,"Indonesia",NA,NA,NA
"Pasi Kolaga","pasik5",-5.18488,122.61737,"Indonesia",NA,NA,NA
"Pasi Kolaga","pasik6",-5.05122,122.73442,"Indonesia",NA,NA,NA
"Pasi Kolaga","pasik7",-5.101097222,122.7026667,"Indonesia",NA,NA,NA
"Pasi Kolaga","pasik8",-5.09813,122.72398,"Indonesia",NA,NA,NA
"Sagori","sagor1",-5.34738,121.78023,"Indonesia",NA,NA,NA
"Sagori","sagor2",-5.33695,121.75924,"Indonesia",NA,NA,NA
"Sagori","sagor3",-5.35974,121.73766,"Indonesia",NA,NA,NA
"Sagori","sagor4",-5.30793,121.76372,"Indonesia",NA,NA,NA
"Sagori","sagor5",-5.28003,121.75574,"Indonesia",NA,NA,NA
"Sagori","sagor6",-5.23678,121.76996,"Indonesia",NA,NA,NA
"Sagori","sagor7",-5.12458,121.81958,"Indonesia",NA,NA,NA
"Siompu","siomp1",-5.68043,122.45918,"Indonesia",NA,NA,NA
"Siompu","siomp2",-5.66852,122.48435,"Indonesia",NA,NA,NA
"Siompu","siomp3",-5.633702778,122.4851917,"Indonesia",NA,NA,NA
"Siompu","siomp4",-5.68715,122.54721,"Indonesia",NA,NA,NA
"Siompu","siomp5",-5.6276,122.54023,"Indonesia",NA,NA,NA
"Siompu","siomp6",-5.62037,122.51912,"Indonesia",NA,NA,NA
"Siompu","siomp7",-5.65373,122.4927,"Indonesia",NA,NA,NA
"Siotapina - Lasel","siont1",-5.31553,123.20327,"Indonesia",NA,NA,NA
"Siotapina - Lasel","siont2",-5.33657,123.19466,"Indonesia",NA,NA,NA
"Siotapina - Lasel","siont3",-5.36695,123.16908,"Indonesia",NA,NA,NA
"Siotapina - Lasel","siont4",-5.38184,123.15185,"Indonesia",NA,NA,NA
"Siotapina - Lasel","siont5",-5.40467,123.11939,"Indonesia",NA,NA,NA
"Siotapina - Lasel","siont6",-5.417,123.08949,"Indonesia",NA,NA,NA
"Siotapina - Lasel","siont7",-5.301791667,123.201475,"Indonesia",NA,NA,NA
"Talaga Raya","talray1",-5.47597,121.9236,"Indonesia",NA,NA,NA
"Talaga Raya","talray2",-5.4931,121.93444,"Indonesia",NA,NA,NA
"Talaga Raya","talray3",-5.52145,121.99358,"Indonesia",NA,NA,NA
"Talaga Raya","talray4",-5.48832,122.05472,"Indonesia",NA,NA,NA
"Talaga Raya","talray5",-5.49253,122.07934,"Indonesia",NA,NA,NA
"Talaga Raya","talray6",-5.48829,122.07141,"Indonesia",NA,NA,NA
"Talaga Raya","talray7",-5.44763,122.04902,"Indonesia",NA,NA,NA
"Teluk Kolono","ntz1",-4.38772,122.74915,"Indonesia",NA,NA,NA
"Teluk Kolono","ntz2",-4.41088,122.77388,"Indonesia",NA,NA,NA
"Teluk Kolono","ntz3",-4.4373,122.84434,"Indonesia",NA,NA,NA
"Teluk Kolono","uz1",-4.39601,122.75924,"Indonesia",NA,NA,NA
"Teluk Kolono","uz2",-4.42498,122.7985,"Indonesia",NA,NA,NA
"Teluk Kolono","uz3",-4.4373,122.84434,"Indonesia",NA,NA,NA
"Teluk Lasolo","lasol1",-3.68464,122.42371,"Indonesia",NA,NA,NA
"Teluk Lasolo","lasol2",-3.68794,122.42447,"Indonesia",NA,NA,NA
"Teluk Lasolo","lasol3",-3.7483,122.36671,"Indonesia",NA,NA,NA
"Teluk Lasolo","lasol4",-3.73534,122.35133,"Indonesia",NA,NA,NA
"Teluk Lasolo","lasol5",-3.72622,122.39161,"Indonesia",NA,NA,NA
"Teluk Lasolo","lasol6",-3.74365,122.43586,"Indonesia",NA,NA,NA
"Teluk Moramo","moram1",-4.07863,122.76952,"Indonesia",NA,NA,NA
"Teluk Moramo","moram2",-4.10858,122.80081,"Indonesia",NA,NA,NA
"Teluk Moramo","moram3",-4.11564,122.82211,"Indonesia",NA,NA,NA
"Teluk Moramo","moram4",-4.15066,122.78184,"Indonesia",NA,NA,NA
"Teluk Moramo","moram5",-4.15096,122.76029,"Indonesia",NA,NA,NA
"Teluk Moramo","moram6",-4.12624,122.72997,"Indonesia",NA,NA,NA
"Teluk Moramo","moram7",-4.14972,122.80367,"Indonesia",NA,NA,NA
"Tiworo Utara","tiwor1",-4.5773,122.30295,"Indonesia",NA,NA,NA
"Tiworo Utara","tiwor2",-4.58446,122.33176,"Indonesia",NA,NA,NA
"Tiworo Utara","tiwor3",-4.5773,122.30295,"Indonesia",NA,NA,NA
"Tiworo Utara","tiwor4",-4.6448,122.33294,"Indonesia",NA,NA,NA
"Tiworo Utara","tiwor5",-4.63637,122.36356,"Indonesia",NA,NA,NA
"Tiworo Utara","tiwor6",-4.6591,122.29202,"Indonesia",NA,NA,NA
