"ma_name","name","latitude","longitude","country","reef_type","reef_zone","reef_exposure"
"Memba-sede","luanda_1",-14.20712,40.57888,"Mozambique",NA,NA,NA
"Memba-sede","luanda_2",-14.20531,40.5827,"Mozambique",NA,NA,NA
"Memba-sede","mecumbo",-14.201472,40.5482535,"Mozambique",NA,NA,NA
"Memba-sede","mecuta_1",-14.21923,40.56025,"Mozambique",NA,NA,NA
"Memba-sede","mecuta_2",-14.20686,40.54938,"Mozambique",NA,NA,NA
"Memba-sede","mecuta_3",-14.21485,40.55818,"Mozambique",NA,NA,NA
"Sanculo","ilha-sede1",-15.05441,40.72473,"Mozambique",NA,NA,NA
"Sanculo","ilha-sede2",-15.04941,40.72062,"Mozambique",NA,NA,NA
"Sanculo","ilha-sede3",-15.05343,40.72931,"Mozambique",NA,NA,NA
"Sanculo","ilha-sede4",-15.04725,40.7359,"Mozambique",NA,NA,NA
"Sanculo","lumbo_1",-14.99608,40.66405,"Mozambique",NA,NA,NA
"Sanculo","lumbo_2",-14.98078,40.6525,"Mozambique",NA,NA,NA
"Sanculo","lumbo_3",-14.99965,40.66256,"Mozambique",NA,NA,NA
"Sanculo","quissanga1",-15.10957,40.6749,"Mozambique",NA,NA,NA
"Sanculo","quissanga2",-15.11081,40.70263,"Mozambique",NA,NA,NA
"Sanculo","quissanga3",-15.09731,40.70991,"Mozambique",NA,NA,NA
"Sanculo","quissanga4",-14.09301,40.70757,"Mozambique",NA,NA,NA
