"ma_name","name","latitude","longitude","country","reef_type","reef_zone","reef_exposure"
"Alicia","a:_litayun_fish_sanctuary",7.43699,122.98296,"Philippines","barrier","crest","semi-exposed"
"Alicia","b:_litayun_fish_sanctuary",7.44651,122.96776,"Philippines","fringing","crest","semi-exposed"
"Ayungon","a:_iniban_marine_sanctuary",9.88926,123.14869,"Philippines","fringing","crest","semi-exposed"
"Ayungon","b:_iniban_marine_sanctuary",9.88515,123.1502,"Philippines","fringing","crest","semi-exposed"
"Ayungon","iniban_ms",9.88884878303109,123.148789342617,"Philippines",NA,NA,NA
"Ayungon","iniban_marine_sanctuary",9.88916772526971,123.14882842881,"Philippines",NA,NA,NA
"Bindoy","a:_mantalip_marine_reserve",9.79871,123.16,"Philippines","atoll","crest","semi-exposed"
"Bindoy","b:_mantalip_marine_reserve",9.79871,123.16,"Philippines","atoll","crest","semi-exposed"
"Bindoy","mantalip",9.79696404726736,123.16605344904,"Philippines",NA,NA,NA
"Bindoy","mantalip_marine_reserve",9.79551111082138,123.167642571056,"Philippines",NA,NA,NA
"Burgos","a:_burgos_marine_protected_area",10.0238,126.07485,"Philippines","fringing","crest","semi-exposed"
"Burgos","burgos_inside_station_1",10.02055,126.07485,"Philippines",NA,NA,NA
"Burgos","burgos_inside_station_2",10.0238,126.07485,"Philippines",NA,NA,NA
"Burgos","burgos_outside_station_3",10.0268,126.07419,"Philippines",NA,NA,NA
"Burgos","burgos_outside_station_4",10.03171,126.07484,"Philippines",NA,NA,NA
"Buug","a:_lampinigan_fish_sanctuary",7.65287,123.07174,"Philippines","fringing","crest","sheltered"
"Cantilan","ayoke",9.39276845652174,126.043055891304,"Philippines",NA,NA,NA
"Cantilan","ayoke_marine_protected_area",9.39592718058986,126.039414118698,"Philippines",NA,NA,NA
"Cantilan","gen._island",9.402795232,126.023107712,"Philippines",NA,NA,NA
"Cortes","burgos",9.24489617154812,126.195452845188,"Philippines",NA,NA,NA
"Cortes","burgos_marine_protected_area",9.24537926666667,126.196952133333,"Philippines",NA,NA,NA
"Cortes","poblacion",9.27956365439093,126.204261728045,"Philippines",NA,NA,NA
"Cortes","poblacion_marine_protected_area",9.27957077948718,126.204262102564,"Philippines",NA,NA,NA
"Cortes","uba",9.288065097423,126.203839252043,"Philippines",NA,NA,NA
"Cortes","uba_marine_protected_area",9.28728504568339,126.203197652433,"Philippines",NA,NA,NA
"Culasi","1",11.40093,122.01504,"Philippines",NA,NA,NA
"Culasi","2",11.41241,122.02777,"Philippines",NA,NA,NA
"Culasi","3",11.4121,122.02798,"Philippines",NA,NA,NA
"Culasi","hambongan_marine_protected_area",10.0680756301824,124.018411713654,"Philippines",NA,NA,NA
"Culasi","malalison",11.4075501261564,122.022524869638,"Philippines",NA,NA,NA
"Culasi","malalison_island_marine_sanctuary",11.5600765028626,122.020679379771,"Philippines",NA,NA,NA
"Dapa","a:_corregidor_fish_sanctuary",9.68804,126.06481,"Philippines","fringing","crest","semi-exposed"
"Dapa","b:_corregidor_fish_sanctuary",9.69868,126.07593,"Philippines","fringing","crest","semi-exposed"
"Dapa","corregidor",9.69438544661191,126.076664240246,"Philippines",NA,NA,NA
"Dapa","corregidor_fish_sanctuary",9.69398926771654,126.07589480315,"Philippines",NA,NA,NA
"Dapa","dapa1",9.69298,126.0726,"Philippines",NA,NA,NA
"Dapa","dapa2",9.68804,126.06481,"Philippines",NA,NA,NA
"Dapa","dapa3",9.68907,126.07477,"Philippines",NA,NA,NA
"Dapa","dapa4",9.6966,126.08943,"Philippines",NA,NA,NA
