"site_name","name","latitude","longitude","country","reef_type","reef_zone","reef_exposure"
"Abiera","abiera_mpa",11.57927,122.08592,"Philippines",NA,NA,NA
"Burgos","burgos_mpa_station_1",10.03171,126.07484,"Philippines",NA,NA,NA
"Burgos","burgos_mpa_station_2",10.0238,126.07485,"Philippines",NA,NA,NA
"Burgos","burgos_outside_station_1",10.03171,126.07484,"Philippines",NA,NA,NA
"Burgos","burgos_outside_station_11",10.0268,126.07419,"Philippines",NA,NA,NA
"Burgos","burgos_outside_station_12",10.0268,126.07419,"Philippines",NA,NA,NA
"Burgos","burgos_outside_station_17",10.0268,126.07419,"Philippines",NA,NA,NA
"Burgos","burgos_outside_station_19",10.0268,126.07419,"Philippines",NA,NA,NA
"Burgos","burgos_outside_station_2",10.0268,126.07419,"Philippines",NA,NA,NA
"Burgos","burgos_outside_station_21",10.0268,126.07419,"Philippines",NA,NA,NA
"Burgos","burgos_outside_station_22",10.0268,126.07419,"Philippines",NA,NA,NA
"Burgos","burgos_outside_station_24",10.0268,126.07419,"Philippines",NA,NA,NA
"Burgos","burgos_outside_station_25",10.0268,126.07419,"Philippines",NA,NA,NA
"Burgos","burgos_outside_station_27",10.0268,126.07419,"Philippines",NA,NA,NA
"Burgos","burgos_outside_station_29",10.0268,126.07419,"Philippines",NA,NA,NA
"Burgos","burgos_outside_station_30",10.0268,126.07419,"Philippines",NA,NA,NA
"Burgos","burgos_outside_station_33",10.0268,126.07419,"Philippines",NA,NA,NA
"Burgos","burgos_outside_station_5",10.0268,126.07419,"Philippines",NA,NA,NA
"Burgos","burgos_outside_station_7",10.0268,126.07419,"Philippines",NA,NA,NA
"Burgos","burgos_outside_station_9",10.0268,126.07419,"Philippines",NA,NA,NA
"Calmante","calmante_station_1",10.63869,124.49599,"Philippines",NA,NA,NA
"Calmante","calmante_station_2",10.63937,124.49796,"Philippines",NA,NA,NA
"Daan Paz","inusukan_mpa_station_1",10.70717,124.47272,"Philippines",NA,NA,NA
